year,global,n_hemi,s_hemi,tropics
1850,-0.373,-0.336,-0.408,-0.308
1851,-0.218,-0.159,-0.277,-0.229
1852,-0.228,-0.107,-0.349,-0.133
1853,-0.269,-0.177,-0.361,-0.141
1854,-0.248,-0.071,-0.425,-0.2
1855,-0.272,-0.19,-0.354,-0.247
1856,-0.358,-0.378,-0.336,-0.296
1857,-0.461,-0.405,-0.516,-0.528
1858,-0.467,-0.4,-0.528,-0.478
1859,-0.284,-0.215,-0.355,-0.358
1860,-0.343,-0.363,-0.33,-0.296
1861,-0.407,-0.295,-0.516,-0.446
1862,-0.524,-0.668,-0.38,-0.386
1863,-0.278,-0.195,-0.361,-0.395
1864,-0.494,-0.521,-0.472,-0.503
1865,-0.279,-0.258,-0.312,-0.197
1866,-0.251,-0.21,-0.298,-0.258
1867,-0.321,-0.338,-0.299,-0.15
1868,-0.238,-0.128,-0.35,-0.159
1869,-0.262,-0.127,-0.397,-0.158
1870,-0.276,-0.203,-0.349,-0.235
1871,-0.335,-0.397,-0.266,-0.17
1872,-0.227,-0.185,-0.271,-0.323
1873,-0.304,-0.295,-0.312,-0.302
1874,-0.368,-0.272,-0.466,-0.482
1875,-0.395,-0.508,-0.285,-0.237
1876,-0.384,-0.345,-0.421,-0.331
1877,-0.075,0,-0.154,0.092
1878,0.035,0.192,-0.117,0.215
1879,-0.23,-0.222,-0.237,-0.215
1880,-0.227,-0.242,-0.214,-0.215
1881,-0.2,-0.238,-0.16,-0.052
1882,-0.213,-0.244,-0.184,-0.24
1883,-0.296,-0.359,-0.228,-0.312
1884,-0.409,-0.474,-0.344,-0.379
1885,-0.389,-0.367,-0.408,-0.288
1886,-0.367,-0.338,-0.398,-0.337
1887,-0.418,-0.356,-0.481,-0.444
1888,-0.307,-0.266,-0.35,-0.079
1889,-0.171,-0.138,-0.207,-0.053
1890,-0.416,-0.363,-0.476,-0.513
1891,-0.33,-0.289,-0.378,-0.235
1892,-0.455,-0.466,-0.45,-0.458
1893,-0.473,-0.543,-0.405,-0.498
1894,-0.41,-0.375,-0.442,-0.485
1895,-0.39,-0.368,-0.414,-0.264
1896,-0.186,-0.152,-0.221,-0.016
1897,-0.206,-0.144,-0.273,0.006
1898,-0.412,-0.288,-0.538,-0.345
1899,-0.289,-0.22,-0.36,-0.207
1900,-0.203,-0.096,-0.314,0.023
1901,-0.259,-0.124,-0.394,-0.127
1902,-0.402,-0.367,-0.439,-0.177
1903,-0.479,-0.4,-0.561,-0.359
1904,-0.52,-0.485,-0.556,-0.494
1905,-0.377,-0.336,-0.421,-0.262
1906,-0.283,-0.199,-0.367,-0.241
1907,-0.465,-0.477,-0.457,-0.366
1908,-0.511,-0.458,-0.566,-0.479
1909,-0.522,-0.448,-0.597,-0.453
1910,-0.49,-0.417,-0.567,-0.501
1911,-0.544,-0.421,-0.668,-0.479
1912,-0.437,-0.466,-0.412,-0.237
1913,-0.424,-0.447,-0.4,-0.361
1914,-0.244,-0.237,-0.253,-0.198
1915,-0.141,-0.125,-0.16,-0.027
1916,-0.383,-0.385,-0.379,-0.386
1917,-0.468,-0.493,-0.443,-0.539
1918,-0.333,-0.353,-0.314,-0.334
1919,-0.275,-0.36,-0.193,-0.204
1920,-0.247,-0.278,-0.219,-0.272
1921,-0.187,-0.101,-0.277,-0.243
1922,-0.302,-0.245,-0.359,-0.296
1923,-0.276,-0.231,-0.325,-0.251
1924,-0.294,-0.222,-0.368,-0.224
1925,-0.215,-0.117,-0.319,-0.212
1926,-0.108,-0.008,-0.209,0.044
1927,-0.21,-0.113,-0.309,-0.113
1928,-0.206,-0.142,-0.273,-0.129
1929,-0.35,-0.318,-0.384,-0.244
1930,-0.137,-0.011,-0.263,-0.076
1931,-0.087,0.035,-0.209,0.068
1932,-0.137,-0.068,-0.205,-0.11
1933,-0.273,-0.239,-0.307,-0.204
1934,-0.131,-0.034,-0.228,-0.189
1935,-0.178,-0.097,-0.259,-0.133
1936,-0.147,-0.049,-0.246,-0.095
1937,-0.026,0.073,-0.127,0.02
1938,-0.006,0.107,-0.12,-0.099
1939,-0.052,0.041,-0.145,-0.107
1940,0.014,0.008,0.018,0.13
1941,0.02,0.039,0.002,0.241
1942,-0.027,0.022,-0.076,0.004
1943,-0.004,0.1,-0.111,-0.119
1944,0.144,0.186,0.102,0.075
1945,0.025,0.024,0.027,0.05
1946,-0.071,0.027,-0.168,-0.005
1947,-0.038,0.019,-0.095,0.014
1948,-0.039,0.08,-0.159,-0.056
1949,-0.074,-0.027,-0.127,-0.113
1950,-0.173,-0.17,-0.183,-0.223
1951,-0.052,0.051,-0.156,-0.049
1952,0.028,0.039,0.019,0.071
1953,0.097,0.199,-0.003,0.072
1954,-0.129,-0.058,-0.2,-0.159
1955,-0.19,-0.088,-0.29,-0.284
1956,-0.267,-0.262,-0.269,-0.317
1957,-0.007,0.009,-0.023,0.014
1958,0.046,0.116,-0.024,0.145
1959,0.017,0.073,-0.038,0.043
1960,-0.049,0.015,-0.113,-0.021
1961,0.038,0.065,0.015,-0.032
1962,0.014,0.089,-0.058,-0.077
1963,0.048,0.148,-0.051,0.076
1964,-0.223,-0.169,-0.275,-0.145
1965,-0.14,-0.134,-0.147,-0.073
1966,-0.068,0.003,-0.14,0.043
1967,-0.074,0.026,-0.174,-0.147
1968,-0.113,-0.063,-0.162,-0.115
1969,0.032,-0.054,0.118,0.246
1970,-0.027,-0.056,0.001,0.008
1971,-0.186,-0.193,-0.18,-0.29
1972,-0.065,-0.222,0.09,0.043
1973,0.062,0.024,0.099,0.064
1974,-0.214,-0.261,-0.166,-0.296
1975,-0.149,-0.123,-0.175,-0.332
1976,-0.241,-0.293,-0.19,-0.25
1977,0.047,0.034,0.059,0.021
1978,-0.062,-0.056,-0.068,-0.062
1979,0.057,0.006,0.107,0.084
1980,0.092,0.068,0.116,0.136
1981,0.14,0.236,0.043,0.018
1982,0.011,-0.029,0.052,0.065
1983,0.194,0.168,0.22,0.222
1984,-0.014,-0.085,0.056,0.003
1985,-0.03,-0.131,0.071,-0.063
1986,0.045,0.026,0.064,0.048
1987,0.192,0.153,0.231,0.358
1988,0.198,0.233,0.164,0.205
1989,0.118,0.164,0.072,-0.014
1990,0.296,0.412,0.181,0.206
1991,0.254,0.316,0.193,0.206
1992,0.105,0.074,0.136,0.109
1993,0.148,0.13,0.167,0.162
1994,0.208,0.28,0.138,0.159
1995,0.325,0.47,0.179,0.285
1996,0.183,0.175,0.187,0.193
1997,0.39,0.456,0.323,0.368
1998,0.539,0.614,0.465,0.564
1999,0.306,0.408,0.204,0.158
2000,0.294,0.404,0.184,0.17
2001,0.441,0.558,0.323,0.35
2002,0.496,0.593,0.398,0.469
2003,0.505,0.642,0.369,0.507
2004,0.447,0.604,0.289,0.43
2005,0.545,0.724,0.367,0.487
2006,0.506,0.676,0.336,0.449
2007,0.491,0.713,0.27,0.365
2008,0.395,0.569,0.22,0.274
2009,0.506,0.594,0.413,0.541
2010,0.56,0.74,0.379,0.535
2011,0.425,0.575,0.275,0.243
2012,0.47,0.627,0.312,0.346
2013,0.514,0.674,0.352,0.404
2014,0.579,0.779,0.381,0.516
2015,0.763,1.033,0.497,0.737
2016,0.797,1.064,0.531,0.763
2017,0.677,0.922,0.434,0.563
2018,0.597,0.789,0.405,0.473
2019,0.736,0.972,0.502,0.656